,LogisticRegression(),DecisionTreeClassifier(criterion='entropy'),ExtraTreesClassifier(criterion='entropy'),RandomForestClassifier(criterion='entropy')
z_ecfp_67,0.9523799303104307,0.008577644687028632,0.008634515551069028,0.009375508124893005
z_ecfp_68,1.694600362940221,0.013053100527184244,0.00959267257586713,0.01109118728250535
z_ecfp_69,0.2641323494708854,0.0041858833808976455,0.007366916347749703,0.007494743750220901
z_ecfp_70,0.12440373717253508,0.006620398795096154,0.007097641701124337,0.007241629697042814
z_ecfp_71,1.391718620696602,0.00779085962309715,0.008267092569936829,0.009380143719604953
z_ecfp_72,0.2754159547643482,0.008222931856076516,0.008570584210182941,0.0089665190458008
z_ecfp_73,1.2182367161057528,0.008581348536239418,0.008475396828234096,0.009259712621067017
z_ecfp_74,0.9762765932318052,0.007307390526077175,0.007769372546887873,0.008195255557511645
z_ecfp_75,0.7851590265711486,0.007667299717508221,0.0075239454025256315,0.00807545315405499
z_ecfp_76,0.40450149120180656,0.007519176764728193,0.007525627367685408,0.007973740776692422
z_ecfp_77,1.7029761818413696,0.012391379803002017,0.009764321589139771,0.010705520640830198
z_ecfp_78,1.5372779597794661,0.010486656056798565,0.007518823211801691,0.008118151807048184
z_ecfp_79,0.1756733515340221,0.008971966334386546,0.008066332913288251,0.008294670056263725
z_ecfp_80,1.0942909509633816,0.005824625804669874,0.007347771560960655,0.007332300525778176
z_ecfp_81,0.17566100244600094,0.01054796966509758,0.007442103022946321,0.008248139134389135
z_ecfp_82,0.13695575863096207,0.008402040413843504,0.00789581486562992,0.008307809674634981
z_ecfp_83,1.006950356372965,0.009442012627358798,0.007465871173354755,0.00799757806967703
z_ecfp_84,0.047673968150967735,0.007917527121167167,0.00787547766269178,0.00804692754496763
z_ecfp_85,0.241858724553954,0.007518984723438634,0.008029048917619469,0.008742936266051177
z_ecfp_86,1.6409181880488908,0.01028056141878404,0.00843285126824147,0.009234274515873027
z_ecfp_87,0.0028180745586991037,0.007128848210978521,0.007291916950746877,0.007476746734212749
z_ecfp_88,0.4563482546753776,0.007426206308110527,0.007781852337876771,0.008199665410078478
z_ecfp_89,0.3951603933164154,0.009334519076519195,0.007617128554146468,0.008298578145028355
z_ecfp_90,0.2616181027249146,0.007173968149149175,0.007259362485780763,0.007410370960087881
z_ecfp_91,0.5897205684423177,0.009330485253436365,0.007695869002806297,0.007984552254820788
z_ecfp_92,0.2406254306915609,0.010533254408752066,0.007431592237813478,0.008057744477871873
z_ecfp_93,0.26267857861069577,0.00727888392788444,0.007349704897203256,0.0072751339173659805
z_ecfp_94,0.05438831236776531,0.00579133998093913,0.007208519861384024,0.007468956952581205
z_ecfp_95,1.4571744572506247,0.0081891413285205,0.0076674379137923795,0.008184870704883664
z_ecfp_96,0.9235499409998088,0.008023317859448138,0.0075458985865998396,0.007969551751128144
z_ecfp_97,0.3968892403471549,0.007240711114472238,0.007302304005317457,0.007854791147125513
z_ecfp_98,0.3512110156165479,0.009051834022491842,0.007288386046596785,0.007475187123947167
z_ecfp_99,0.4974699145746231,0.0051912273572669925,0.007866318150210968,0.008406920856549467
