,importance_mean,improtance_std
z_ecfp_40,0.20063903021621668,0.1291037487360964
z_ecfp_52,0.19988736056038747,0.13524986983496384
z_ecfp_21,0.1971050578092248,0.13911947077952183
z_ecfp_92,0.1969671335411764,0.1407442867826562
z_ecfp_69,0.19674736650865798,0.1359677377728715
z_ecfp_48,0.19354924816322724,0.13010571738319268
z_ecfp_17,0.1932071693575203,0.11700947016390235
z_ecfp_12,0.1927491557905883,0.14227528605158385
z_ecfp_63,0.19162411415570652,0.13689096591386735
z_ecfp_14,0.19125372213399786,0.12405433791727043
n_ethers,0.19034749830238673,0.1716195562301968
z_ecfp_42,0.18927551565446188,0.1397757924876012
n_donors,0.18642921229474052,0.19187920147878135
z_ecfp_70,0.1822203277512623,0.1303580464661445
n_bonds,0.18107669209621716,0.11352652008288226
n_heavyatoms,0.1757188836289383,0.12615169773377238
z_ecfp_16,0.17464660705318252,0.13552426626142383
z_ecfp_10,0.17428300860666196,0.141514880306657
n_acceptors,0.17070582574624166,0.15601754502064494
n_oxos,0.16689100792078473,0.20902963973912606
n_carboxacids,0.15124008993588506,0.28653208265486624
n_sulfoanamids,0.13517257269700952,0.14373236945745327
n_phenols,0.1315768830313084,0.1135028608016596
n_anilines,0.1116396355906061,0.12813715845880755
n_arohydroxyls,0.10259764121284246,0.10868959554553602
n_halogens,0.08853951188583808,0.09602207249233163
n_alihydroxyls,0.08851567455404423,0.151998428782516
n_priamines,0.06971903730688672,0.09135230196483766
n_chloros,0.05498540319483833,0.07931369830458747
n_fluoros,0.04608363887590894,0.0328104951669114
n_nitriles,0.011626270804236241,0.021126173507945087
